Satellite1,Satellite2,Distance,Orbit
1,22,1969.9219380541983,0
1,2,1969.921999317239,0
2,1,1969.921999317239,0
2,3,1969.9220596356893,0
3,2,1969.9220596356893,0
3,4,1969.9219356426422,0
4,3,1969.9219356426422,0
4,5,1969.9219825293417,0
5,4,1969.9219825293417,0
5,6,1969.921989684788,0
6,5,1969.921989684788,0
6,7,1969.9220187536182,0
7,6,1969.9220187536182,0
7,8,1969.9220462491874,0
8,7,1969.9220462491874,0
8,9,1969.9219647984028,0
9,8,1969.9219647984028,0
9,10,1969.9219782743849,0
10,9,1969.9219782743849,0
10,11,1969.9219922274533,0
11,10,1969.9219922274533,0
11,12,1969.921938054198,0
12,11,1969.921938054198,0
12,13,1969.9219993172405,0
13,12,1969.9219993172405,0
13,14,1969.9220596356902,0
14,13,1969.9220596356902,0
14,15,1969.9219356426413,0
15,14,1969.9219356426413,0
15,16,1969.9219825293421,0
16,15,1969.9219825293421,0
16,17,1969.9219896847878,0
17,16,1969.9219896847878,0
17,18,1969.9220187536182,0
18,17,1969.9220187536182,0
18,19,1969.9220462491867,0
19,18,1969.9220462491867,0
19,20,1969.9219647984028,0
20,19,1969.9219647984028,0
20,21,1969.921978274386,0
21,20,1969.921978274386,0
21,22,1969.921992227453,0
22,21,1969.921992227453,0
22,1,1969.9219380541983,0
23,44,1969.922012149073,1
23,24,1969.9220330491692,1
24,23,1969.9220330491692,1
24,25,1969.921953750623,1
25,24,1969.921953750623,1
25,26,1969.921949573547,1
26,25,1969.921949573547,1
26,27,1969.9219779407958,1
27,26,1969.9219779407958,1
27,28,1969.9220615901863,1
28,27,1969.9220615901863,1
28,29,1969.9220476226594,1
29,28,1969.9220476226594,1
29,30,1969.9218931709393,1
30,29,1969.9218931709393,1
30,31,1969.9220787542617,1
31,30,1969.9220787542617,1
31,32,1969.9219443027905,1
32,31,1969.9219443027905,1
32,33,1969.921953262904,1
33,32,1969.921953262904,1
33,34,1969.9220121490728,1
34,33,1969.9220121490728,1
34,35,1969.92203304917,1
35,34,1969.92203304917,1
35,36,1969.9219537506215,1
36,35,1969.9219537506215,1
36,37,1969.9219495735472,1
37,36,1969.9219495735472,1
37,38,1969.9219779407958,1
38,37,1969.9219779407958,1
38,39,1969.9220615901863,1
39,38,1969.9220615901863,1
39,40,1969.9220476226596,1
40,39,1969.9220476226596,1
40,41,1969.9218931709395,1
41,40,1969.9218931709395,1
41,42,1969.9220787542615,1
42,41,1969.9220787542615,1
42,43,1969.9219443027905,1
43,42,1969.9219443027905,1
43,44,1969.9219532629027,1
44,43,1969.9219532629027,1
44,23,1969.922012149073,1
45,66,1969.921963745079,2
45,46,1969.9220085401275,2
46,45,1969.9220085401275,2
46,47,1969.9220773549155,2
47,46,1969.9220773549155,2
47,48,1969.92197535749,2
48,47,1969.92197535749,2
48,49,1969.921886550884,2
49,48,1969.921886550884,2
49,50,1969.9220397749239,2
50,49,1969.9220397749239,2
50,51,1969.9220504224845,2
51,50,1969.9220504224845,2
51,52,1969.9219247562871,2
52,51,1969.9219247562871,2
52,53,1969.9219911994303,2
53,52,1969.9219911994303,2
53,54,1969.9220285443714,2
54,53,1969.9220285443714,2
54,55,1969.9219589209517,2
55,54,1969.9219589209517,2
55,56,1969.9219637450813,2
56,55,1969.9219637450813,2
56,57,1969.922008540127,2
57,56,1969.922008540127,2
57,58,1969.922077354916,2
58,57,1969.922077354916,2
58,59,1969.9219753574898,2
59,58,1969.9219753574898,2
59,60,1969.921886550885,2
60,59,1969.921886550885,2
60,61,1969.9220397749223,2
61,60,1969.9220397749223,2
61,62,1969.9220504224847,2
62,61,1969.9220504224847,2
62,63,1969.921924756288,2
63,62,1969.921924756288,2
63,64,1969.9219911994303,2
64,63,1969.9219911994303,2
64,65,1969.9220285443712,2
65,64,1969.9220285443712,2
65,66,1969.9219589209526,2
66,65,1969.9219589209526,2
66,45,1969.921963745079,2
67,88,1969.9219668120318,3
67,68,1969.9219941418453,3
68,67,1969.9219941418453,3
68,69,1969.9219777234719,3
69,68,1969.9219777234719,3
69,70,1969.921968532705,3
70,69,1969.921968532705,3
70,71,1969.9219875064757,3
71,70,1969.9219875064757,3
71,72,1969.9220716918046,3
72,71,1969.9220716918046,3
72,73,1969.9219358035143,3
73,72,1969.9219358035143,3
73,74,1969.922031119448,3
74,73,1969.922031119448,3
74,75,1969.921953492222,3
75,74,1969.921953492222,3
75,76,1969.9219451321496,3
76,75,1969.9219451321496,3
76,77,1969.9220732112835,3
77,76,1969.9220732112835,3
77,78,1969.921966812033,3
78,77,1969.921966812033,3
78,79,1969.9219941418442,3
79,78,1969.9219941418442,3
79,80,1969.921977723472,3
80,79,1969.921977723472,3
80,81,1969.9219685327062,3
81,80,1969.9219685327062,3
81,82,1969.9219875064755,3
82,81,1969.9219875064755,3
82,83,1969.9220716918041,3
83,82,1969.9220716918041,3
83,84,1969.9219358035152,3
84,83,1969.9219358035152,3
84,85,1969.9220311194467,3
85,84,1969.9220311194467,3
85,86,1969.921953492223,3
86,85,1969.921953492223,3
86,87,1969.9219451321494,3
87,86,1969.9219451321494,3
87,88,1969.9220732112838,3
88,87,1969.9220732112838,3
88,67,1969.9219668120318,3
89,110,1969.9219905366986,4
89,90,1969.9219532543466,4
90,89,1969.9219532543466,4
90,91,1969.9220292033183,4
91,90,1969.9220292033183,4
91,92,1969.9219895182146,4
92,91,1969.9219895182146,4
92,93,1969.9220014784426,4
93,92,1969.9220014784426,4
93,94,1969.9220030046695,4
94,93,1969.9220030046695,4
94,95,1969.9220347288554,4
95,94,1969.9220347288554,4
95,96,1969.9219203977013,4
96,95,1969.9219203977013,4
96,97,1969.9219843954797,4
97,96,1969.9219843954797,4
97,98,1969.921952750696,4
98,97,1969.921952750696,4
98,99,1969.9220458985233,4
99,98,1969.9220458985233,4
99,100,1969.921990536698,4
100,99,1969.921990536698,4
100,101,1969.9219532543482,4
101,100,1969.9219532543482,4
101,102,1969.922029203318,4
102,101,1969.922029203318,4
102,103,1969.9219895182139,4
103,102,1969.9219895182139,4
103,104,1969.9220014784437,4
104,103,1969.9220014784437,4
104,105,1969.922003004669,4
105,104,1969.922003004669,4
105,106,1969.922034728855,4
106,105,1969.922034728855,4
106,107,1969.921920397702,4
107,106,1969.921920397702,4
107,108,1969.9219843954786,4
108,107,1969.9219843954786,4
108,109,1969.921952750697,4
109,108,1969.921952750697,4
109,110,1969.922045898523,4
110,109,1969.922045898523,4
110,89,1969.9219905366986,4
111,132,1969.9220280722436,5
111,112,1969.9220090609313,5
112,111,1969.9220090609313,5
112,113,1969.921983681609,5
113,112,1969.921983681609,5
113,114,1969.921986088892,5
114,113,1969.921986088892,5
114,115,1969.921970293748,5
115,114,1969.921970293748,5
115,116,1969.9220714281157,5
116,115,1969.9220714281157,5
116,117,1969.9219033528468,5
117,116,1969.9219033528468,5
117,118,1969.9220812550232,5
118,117,1969.9220812550232,5
118,119,1969.921936700385,5
119,118,1969.921936700385,5
119,120,1969.9219549112056,5
120,119,1969.9219549112056,5
120,121,1969.921980321949,5
121,120,1969.921980321949,5
121,122,1969.922028072244,5
122,121,1969.922028072244,5
122,123,1969.9220090609322,5
123,122,1969.9220090609322,5
123,124,1969.9219836816071,5
124,123,1969.9219836816071,5
124,125,1969.9219860888943,5
125,124,1969.9219860888943,5
125,126,1969.9219702937457,5
126,125,1969.9219702937457,5
126,127,1969.9220714281166,5
127,126,1969.9220714281166,5
127,128,1969.921903352847,5
128,127,1969.921903352847,5
128,129,1969.922081255023,5
129,128,1969.922081255023,5
129,130,1969.9219367003848,5
130,129,1969.9219367003848,5
130,131,1969.9219549112072,5
131,130,1969.9219549112072,5
131,132,1969.9219803219491,5
132,131,1969.9219803219491,5
132,111,1969.9220280722436,5
133,154,1969.9220282876176,6
133,134,1969.9219826794,6
134,133,1969.9219826794,6
134,135,1969.9219562817352,6
135,134,1969.9219562817352,6
135,136,1969.922059966292,6
136,135,1969.922059966292,6
136,137,1969.9219766412432,6
137,136,1969.9219766412432,6
137,138,1969.9219812782335,6
138,137,1969.9219812782335,6
138,139,1969.9220356657672,6
139,138,1969.9220356657672,6
139,140,1969.921915403809,6
140,139,1969.921915403809,6
140,141,1969.922084130014,6
141,140,1969.922084130014,6
141,142,1969.9219630175999,6
142,141,1969.9219630175999,6
142,143,1969.921921815236,6
143,142,1969.921921815236,6
143,144,1969.9220282876179,6
144,143,1969.9220282876179,6
144,145,1969.9219826793997,6
145,144,1969.9219826793997,6
145,146,1969.9219562817348,6
146,145,1969.9219562817348,6
146,147,1969.9220599662929,6
147,146,1969.9220599662929,6
147,148,1969.921976641243,6
148,147,1969.921976641243,6
148,149,1969.9219812782342,6
149,148,1969.9219812782342,6
149,150,1969.9220356657665,6
150,149,1969.9220356657665,6
150,151,1969.9219154038099,6
151,150,1969.9219154038099,6
151,152,1969.9220841300153,6
152,151,1969.9220841300153,6
152,153,1969.9219630175983,6
153,152,1969.9219630175983,6
153,154,1969.9219218152366,6
154,153,1969.9219218152366,6
154,133,1969.9220282876176,6
155,176,1969.922030939923,7
155,156,1969.9219905120076,7
156,155,1969.9219905120076,7
156,157,1969.9219976000488,7
157,156,1969.9219976000488,7
157,158,1969.921951686023,7
158,157,1969.921951686023,7
158,159,1969.9219606204217,7
159,158,1969.9219606204217,7
159,160,1969.9220584704335,7
160,159,1969.9220584704335,7
160,161,1969.9219526765805,7
161,160,1969.9219526765805,7
161,162,1969.922002702008,7
162,161,1969.922002702008,7
162,163,1969.9219836891552,7
163,162,1969.9219836891552,7
163,164,1969.9219817450034,7
164,163,1969.9219817450034,7
164,165,1969.9219945253465,7
165,164,1969.9219945253465,7
165,166,1969.9220309399225,7
166,165,1969.9220309399225,7
166,167,1969.9219905120085,7
167,166,1969.9219905120085,7
167,168,1969.9219976000488,7
168,167,1969.9219976000488,7
168,169,1969.9219516860212,7
169,168,1969.9219516860212,7
169,170,1969.921960620424,7
170,169,1969.921960620424,7
170,171,1969.9220584704335,7
171,170,1969.9220584704335,7
171,172,1969.9219526765794,7
172,171,1969.9219526765794,7
172,173,1969.9220027020087,7
173,172,1969.9220027020087,7
173,174,1969.9219836891555,7
174,173,1969.9219836891555,7
174,175,1969.9219817450044,7
175,174,1969.9219817450044,7
175,176,1969.9219945253467,7
176,175,1969.9219945253467,7
176,155,1969.922030939923,7
177,198,1969.9220310030057,8
177,178,1969.9220201061794,8
178,177,1969.9220201061794,8
178,179,1969.921989951553,8
179,178,1969.921989951553,8
179,180,1969.921975951056,8
180,179,1969.921975951056,8
180,181,1969.9220036189602,8
181,180,1969.9220036189602,8
181,182,1969.9219009802603,8
182,181,1969.9219009802603,8
182,183,1969.9221079250997,8
183,182,1969.9221079250997,8
183,184,1969.921932381465,8
184,183,1969.921932381465,8
